1149,문학,스노볼,박소영,창비,2020,2021.1
1147,문학,목소리를 삼킨 아이,파리누쉬 사니이,북레시피,2020,2020.12
1141,문학,천개의 파랑,천선란,허블,2020,2020.12
1137,문학,머지않아 이별입니다,나가쓰키 아마네,해냄출판사,2020,2020.11
1131,문학,오늘도 흔들리는 중입니다,이재영,흐름출판,2020,2020.11
1128,문학,당신의 4분 33초,이서수 ,은행나무,2020,2020.10
1124,문학,디어 에드워드,앤 나폴리타노 ,쌤앤파커스,2020,2020.10
1121,문학,어두운 숲 ,니콜 크라우스,문학동네,2020,2020.9
1120,문학,작은 동네,손보미,문학과지성사,2020,2020.9
1115,문학,모두 너와 이야기하고 싶어 해,은모든,민음사,2020,2020.8
1114,문학,카구야 프로젝트,원샨,아작,2020,2020.8
1106,문학,거의 떠나온 상태에서 떠나오기,데이비드 포스터,바다출판사,2020,2020.7
1103,문학,도서관을 떠나는 책들을 위하여,오수완,나무옆의자,2020,2020.7
1098,문학,불과 나의 자서전,김혜진,현대문학,2020,2020.6
1092,문학,128호실의 원고,카티 보니당,한스미디어,2020,2020.6
1091,문학,떨리는 손,김창규| 이명현| 이은희| 이종필| 정경숙 지음  ,사계절출판사,2020,2020.5
1086,문학,만년의 집,강상중 지음 ; 조수경 옮김,사계절,2019,2020.5
1082,문학,엄마의 죽음은 처음이니까,권혁란,한겨레출판,2020,2020.4
1077,문학,클락댄스,앤 타일러,미래지향,2019,2020.4
1076,문학,물이 깊은 바다,지은이: 파비오 제노베시 ; 옮긴이: 최정윤  ,현대문학,2020,2020.4
1074,문학,나는 슈뢰딩거의 고양이로소이다 ,원종우,아토포스,2019,2020.3
1064,문학,방관시대의 사람들,류전윈,글항아리,2019,2020.2
1061,문학,애쓰다 지친 나를 위해,서덕,넥스트북스,2019,2020.2
1056,문학,도공 서란,손정미,마음서재,2019,2020.1
1053,문학,보라색 히비스커스,치마만다 응고지 아디치에,민음사,2019,2020.1
